# TOCFL vocabulary list, levels 1-5
# Published on 2013-04-30
#
# Downloaded from: http://www.sc-top.org.tw/english/download.php
# Direct download link: http://www.sc-top.org.tw/download/8000zhuyin.rar
# Accessed on 2014-01-12
#
# Part of speech key (詞類標記表):
# Adv: Adverb, 副詞
# Conj: Conjunction, 連接詞
# Det: Determiner (依據平衡語料庫), 限定詞
# M: Measure, 量詞
# N: Noun, 名詞
# P: Particle, 助詞
# Post: Postposition (依據平衡語料庫), 後置詞
# Prep: Preposition, 介詞
# VA: Action verb, 動作動詞
# VS: State verb, 狀態動詞
#
# Column header:
# Word, Level, Part of speech, Category
請問,1,,與他人的關係
怎麼樣,1,,與他人的關係
禮物,1,N,與他人的關係
歡迎,1,VS,與他人的關係
晚會,1,N,與他人的關係
做,1,VA,與他人的關係
信,1,VS/N,與他人的關係
信封,1,N,與他人的關係
寄,1,VA,與他人的關係
接,1,VS/VA,與他人的關係
郵局,1,N,與他人的關係
銀行,1,N,與他人的關係
警察,1,N,與他人的關係
壞,1,VS,與他人的關係
幫忙,1,VA,與他人的關係
換,1,VA,與他人的關係
東西,1,N,與他人的關係
叫,1,VS/VA,與他人的關係
找,1,VA,與他人的關係
什麼,1,Det,與他人的關係
甚麼,1,Det,與他人的關係
嗎,1,P,與他人的關係
呢,1,P,與他人的關係
喂,1,P,與他人的關係
吧,1,P,與他人的關係
計程車,1,N,旅行
地鐵,1,N,旅行
車站,1,N,旅行
火車,1,N,旅行
飛機,1,N,旅行
飛機場,1,N,旅行
機場,1,N,旅行
公共汽車,1,N,旅行
公車,1,N,旅行
車,1,N,旅行
車子,1,N,旅行
開車,1,VA,旅行
帶,1,VA,旅行
去,1,P/Adv/VA,旅行
出去,1,VA,旅行
進來,1,VA,旅行
回,1,M/VA,旅行
馬路,1,N,旅行
十字路口,1,N,旅行
中間,1,N,旅行
對面,1,N,旅行
附近,1,N,旅行
旁邊,1,N,旅行
後,1,Det/N,旅行
後面,1,N,旅行
前,1,Det/N,旅行
前面,1,N,旅行
左邊,1,N,旅行
右邊,1,N,旅行
外面,1,N,旅行
裡面,1,N,旅行
下,1,VA/M/N/Det,旅行
下面,1,N,旅行
上,1,VA/N/Det,旅行
上面,1,N,旅行
這,1,Det,旅行
那,1,Det/Conj,旅行
哪,1,P/Det,旅行
這裡,1,N,旅行
這兒,1,N,旅行
那裡,1,N,旅行
那兒,1,N,旅行
哪裡,1,N,旅行
哪兒,1,N,旅行
怎麼,1,Adv,旅行
旅行,1,N/VA,旅行
飯店,1,N,旅行
旅館,1,N,旅行
地方,1,N,旅行
參觀,1,VA,旅行
遠,1,VS,旅行
近,1,Adv/VS/Det,旅行
快,1,Adv/VS,旅行
慢,1,VS,旅行
站,1,N/VA,旅行
坐,1,VA,旅行
離,1,Prep/VA,旅行
往,1,Prep/VA,旅行
送,1,VA,旅行
地圖,1,N,旅行
過,1,P/Adv/VA,旅行
拿,1,Prep/VA,旅行
放,1,VA,旅行
到,1,Prep/Conj/VA,旅行
照相機,1,N,旅行
照相,1,VA,旅行
風景,1,N,旅行
眼睛,1,N,健康及身體照護
身體,1,N,健康及身體照護
頭,1,Det/N/M,健康及身體照護
頭髮,1,N,健康及身體照護
耳朵,1,N,健康及身體照護
手,1,N,健康及身體照護
手指,1,N,健康及身體照護
手指頭,1,N,健康及身體照護
肚子,1,N,健康及身體照護
累,1,VS,健康及身體照護
健康,1,VS/N,健康及身體照護
感冒,1,VS,健康及身體照護
生病,1,VS,健康及身體照護
受傷,1,VS,健康及身體照護
餓,1,VS,健康及身體照護
渴,1,VS,健康及身體照護
舒服,1,VS,健康及身體照護
藥,1,N,健康及身體照護
眼鏡,1,N,健康及身體照護
痛,1,VS,健康及身體照護
想,1,VA,購物
